Description,StockCode,Revenue,Quantity,InvoiceNo
6 RIBBONS ELEGANT CHRISTMAS ,22075,2489.0299999999997,1773,200
6 RIBBONS EMPIRE  ,22076,1667.8799999999999,1259,225
6 RIBBONS RUSTIC CHARM,22077,17186.62,9172,955
6 RIBBONS SHIMMERING PINKS ,22074,1239.6699999999998,1402,199
6 ROCKET BALLOONS ,22439,1293.22,1898,197
60 CAKE CASES DOLLY GIRL DESIGN,22951,3990.2000000000003,7481,437
60 CAKE CASES VINTAGE CHRISTMAS,22952,9498.87,16032,618
60 GOLD AND SILVER FAIRY CAKE CASES,84990,1.1,2,2
60 TEATIME FAIRY CAKE CASES,84991,9169.970000000001,18189,828
6PC WOOD PLATE SET DISPOSABLE,23125,574.88,459,38
70'S ALPHABET WALL ART,23542,1043.1,150,15
72 CAKE CASES VINTAGE CHRISTMAS,22952,13.200000000000001,24,1
72 SWEETHEART FAIRY CAKE CASES,84992,6532.780000000001,13319,615
75 BLACK PETIT FOUR CASES,84993B,24.36,58,18
75 GREEN FAIRY CAKE CASES,84989A,14.850000000000001,27,17
75 GREEN FAIRY CAKE CASES,84989a,87.51,42,25
75 GREEN PETIT FOUR CASES,84993A,159.69,343,55
75 GREEN PETIT FOUR CASES,84993a,26.56,32,19
?,21479,0.0,752,1
?,22171,0.0,142,1
?,23135,0.0,101,1
?,72803A,0.0,117,1
?,84988,0.0,3000,1
?,85123A,0.0,4000,1
A PRETTY THANK YOU CARD,23697,194.58,456,35
A4 WALL TIDY BLUE OFFICE,71496A,80.96000000000001,127,12
A4 WALL TIDY RED FLOWERS,71496B,7.37,13,4
ABC TREASURE BOOK BOX ,23176,4693.08,2165,226
ABSTRACT CIRCLE JOURNAL ,20770,447.25,184,72
ABSTRACT CIRCLES POCKET BOOK,20758,135.15,159,42
ABSTRACT CIRCLES SKETCHBOOK ,20764,603.3100000000001,142,76
ACRYLIC GEOMETRIC LAMP,85161,568.65,35,20
"ACRYLIC HANGING JEWEL,BLUE",35819B,106.05,268,24
"ACRYLIC HANGING JEWEL,PINK",35819P,66.55,95,7
"ACRYLIC JEWEL ANGEL,PINK",35816P,29.64,78,2
"ACRYLIC JEWEL ICICLE, BLUE",35818B,11.780000000000001,31,3
"ACRYLIC JEWEL ICICLE, PINK",35818P,105.83,263,19
"ACRYLIC JEWEL SNOWFLAKE, PINK",35815P,63.28000000000001,162,5
"ACRYLIC JEWEL SNOWFLAKE,PINK",35817P,15.299999999999999,6,1
ADULT APRON APPLE DELIGHT,22939,945.88,184,45
ADVENT CALENDAR GINGHAM SACK,22580,6848.1900000000005,1315,247
AFGHAN SLIPPER SOCK PAIR,51008,1690.5500000000002,519,22
AGED GLASS SILVER T-LIGHT HOLDER,21326,6859.27,10535,340
AIRLINE BAG VINTAGE JET SET BROWN,22375,1626.54,351,170
AIRLINE BAG VINTAGE JET SET RED,22374,2427.52,552,226
AIRLINE BAG VINTAGE JET SET WHITE,22376,1133.2,253,123
AIRLINE BAG VINTAGE TOKYO 78,22371,5072.32,1095,395
AIRLINE BAG VINTAGE WORLD CHAMPION ,22372,1289.49,282,150
"AIRLINE LOUNGE,METAL SIGN",82567,1408.07,711,291
ALARM CLOCK BAKELIKE CHOCOLATE,22725,8153.6,1980,428
ALARM CLOCK BAKELIKE GREEN,22726,27155.28,6419,980
ALARM CLOCK BAKELIKE IVORY,22730,11453.4,2885,570
ALARM CLOCK BAKELIKE ORANGE,22729,9068.95,2323,445
ALARM CLOCK BAKELIKE PINK,22728,20672.15,5356,783
ALARM CLOCK BAKELIKE RED ,22727,30644.87,7800,1051
ALPHABET HEARTS STICKER SHEET,21723,350.08,397,59
ALPHABET STENCIL CRAFT,22564,3057.27,2697,186
ALUMINIUM HEART,23068,74.7,30,6
ALUMINIUM STAMPED HEART,23068,1892.2300000000002,779,130
AMAZON,22848,0.0,1,1
AMAZON,22925,0.0,1,1
AMAZON,72807A,0.0,1,1
AMAZON FEE,AMAZONFEE,13761.09,2,2
AMBER 3 BEAD DROP EARRINGS,90182A,23.2,8,8
AMBER BERTIE GLASS BEAD BAG CHARM,90125E,21.05,11,10
AMBER BERTIE MOBILE PHONE CHARM,90126C,6.58,2,1
AMBER CHUNKY BEAD BRACELET W STRAP,90184A,117.73,13,9
AMBER CHUNKY GLASS+BEAD NECKLACE,90178A,95.25,8,8
AMBER CRYSTAL DROP EARRINGS,90011E,8.76,3,3
AMBER DIAMANTE EXPANDABLE RING,90185A,131.03,31,13
AMBER DROP EARRINGS W LONG BEADS,90183A,117.24000000000001,40,23
AMBER FINE BEAD NECKLACE W TASSEL,90179A,35.31,6,5
AMBER GLASS TASSLE BAG CHARM,90129D,33.440000000000005,14,7
AMBER GLASS/SHELL/PEARL NECKLACE,90181A,64.04,7,7
AMBER GLASS/SILVER BRACELET,90010E,227.89,25,16
AMETHYST 3 BEAD DROP EARRINGS,90182B,14.5,5,5
AMETHYST CHUNKY BEAD BRACELET W STR,90184B,297.94,33,21
AMETHYST DIAMANTE EXPANDABLE RING,90185B,97.02,23,12
AMETHYST DROP EARRINGS W LONG BEADS,90183B,61.08,21,17
AMETHYST GLASS/SHELL/PEARL NECKLACE,90181B,137.63,15,14
AMETHYST HOOP EARRING FLORAL LEAF,90186A,32.16,11,9
ANGEL DECORATION 3 BUTTONS ,22154,1636.67,3745,162
ANGEL DECORATION PAINTED ZINC ,22337,574.5400000000001,912,77
ANGEL DECORATION STARS ON DRESS,22153,1109.05,2593,131
ANGEL DECORATION WITH LACE PADDED,22157,180.2,212,11
ANIMAL STICKERS,16011,367.29,1749,46
ANIMALS AND NATURE WALL ART,23527,923.97,267,17
ANT COPPER LIME BOUDICCA BRACELET,90161C,412.74,83,50
ANT COPPER PINK BOUDICCA BRACELET,90161D,318.89000000000004,64,34
ANT COPPER RED BOUDICCA BRACELET,90161A,119.91000000000001,24,21
ANT COPPER TURQ BOUDICCA BRACELET,90161B,377.88,76,37
ANT SILVER FUSCHIA BOUDICCA RING,90162C,41.300000000000004,14,7
ANT SILVER LIME GREEN BOUDICCA RING,90162B,79.65,27,10
ANT SILVER PURPLE BOUDICCA RING,90162D,29.500000000000004,10,5
ANT SILVER TURQUOISE BOUDICCA RING,90162A,17.700000000000003,6,1
ANT WHITE WIRE HEART SPIRAL,84884A,1201.91,301,78
ANT WHITE WIRE HEART SPIRAL,84884a,317.71999999999997,38,26
ANTIQUE ALL GLASS CANDLESTICK,21012,2614.05,1169,199
ANTIQUE CREAM CUTLERY CUPBOARD,21270,530.19,50,36
ANTIQUE CREAM CUTLERY SHELF ,21269,254.98000000000002,29,19
ANTIQUE GLASS DRESSING TABLE POT,22798,5561.3,1798,267
ANTIQUE GLASS HEART DECORATION ,21143,707.23,327,36
ANTIQUE GLASS PEDESTAL BOWL,22801,4203.89,1027,220
ANTIQUE GLASS PLACE SETTING,21145,152.5,122,8
ANTIQUE HEART SHELF UNIT,23486,4145.47,275,74
ANTIQUE IVORY WIRE BOWL SMALL,23149,251.45000000000002,99,21
ANTIQUE MID BLUE FLOWER EARRINGS,90001B,21.15,5,3
ANTIQUE OLIVE GREEN FLOWER EARRINGS,90001D,29.73,7,5
ANTIQUE OPAL WHITE FLOWER EARRINGS,90001C,21.130000000000003,5,5
ANTIQUE RASPBERRY FLOWER EARRINGS,90001A,20.950000000000003,5,4
ANTIQUE SILVER BAUBLE LAMP  ,23085,3583.23,376,78
ANTIQUE SILVER BOOK MARK WITH BEADS,71143,14.11,17,3
ANTIQUE SILVER T-LIGHT GLASS,84946,19381.62,14664,689
ANTIQUE SILVER TEA GLASS ENGRAVED,84947,10229.77,8652,347
ANTIQUE SILVER TEA GLASS ETCHED,84946,6461.76,4545,216
ANTIQUE TALL SWIRLGLASS TRINKET POT,22800,3560.74,870,203
APOTHECARY MEASURING JAR,23017,826.28,67,22
APPLE BATH SPONGE,20963,1911.17,1336,229
APRON APPLE DELIGHT,22939,1446.79,285,80
APRON MODERN VINTAGE COTTON,21043,1139.86,492,90
AQUA BERTIE GLASS BEAD BAG CHARM,90125B,48.06,30,12
AREA PATROLLED METAL SIGN,82582,8858.79,4365,437
ARMY CAMO BOOKCOVER TAPE,10124G,7.14,17,4
"ART LIGHTS,FUNK MONKEY",79302M,1037.54,370,62
ASS COL CIRCLE MOBILE ,44235,173.15999999999997,474,6
ASS COL LARGE SAND FROG P'WEIGHT,17165D,28.35,27,7
ASS COL SMALL SAND GECKO P'WEIGHT,17164B,11.34,27,9
ASS COLOUR GLOWING TIARAS,84051,215.21,281,25
ASS DES PHONE SPONGE CRAFT STICKER,84827,153.09,509,14
ASS FLORAL PRINT MULTI SCREWDRIVER,47503A,1254.1200000000001,2734,163
ASS FLORAL PRINT SPIRIT LEVEL ,47503H,110.86,100,37
ASSORTED BOTTLE TOP  MAGNETS ,22915,1406.42,3152,184
ASSORTED CAKES FRIDGE MAGNETS,85216,35.75,55,8
ASSORTED CHEESE FRIDGE MAGNETS,85215,180.71,223,18
ASSORTED CIRCULAR MOBILE,44234,154.77,693,33
ASSORTED COLOUR BIRD ORNAMENT,84879,58927.62,36362,1455
ASSORTED COLOUR LIZARD SUCTION HOOK,47421,393.0,994,55
ASSORTED COLOUR METAL CAT ,84192,138.75,111,25
ASSORTED COLOUR MINI CASES,20749,12550.57,1762,383
ASSORTED COLOUR SILK GLASSES CASE,85224,6.300000000000001,3,1
ASSORTED COLOUR SUCTION CUP HOOK,47420,37.24,196,13
ASSORTED COLOUR T-LIGHT HOLDER,84950,2297.03,3619,120
ASSORTED COLOURED CIRCLE MOBILE ,44235,26.88,64,7
ASSORTED COLOURS SILK FAN,15036,18569.84,23826,518
ASSORTED CREEPY CRAWLIES,21830,1107.07,2621,99
ASSORTED EASTER DECORATIONS  BELLS,22856,729.57,569,27
ASSORTED EASTER GIFT TAGS,22857,965.8599999999999,1145,61
ASSORTED FARMYARD ANIMALS IN BUCKET,85198,74.58,90,9
"ASSORTED FLOWER COLOUR ""LEIS""",84212,4934.87,10315,111
ASSORTED INCENSE PACK,17084R,760.3199999999999,4032,27
ASSORTED LAQUERED INCENSE HOLDERS,17096,455.9800000000001,2545,24
ASSORTED MINI MADRAS NOTEBOOK,21634,481.95,976,28
ASSORTED MONKEY SUCTION CUP HOOK,47422,246.18,617,45
ASSORTED SANSKRIT MINI NOTEBOOK,21637,136.25,109,6
ASSORTED SHAPES PHOTO CLIP SILVER ,47469,238.60999999999999,469,12
ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,21640,633.8299999999999,650,78
ASSORTED TUTTI FRUTTI BRACELET,21650,692.85,2550,132
ASSORTED TUTTI FRUTTI HEART BOX,21644,268.75,215,32
ASSORTED TUTTI FRUTTI KEYRING BALL,21641,451.59,1153,49
ASSORTED TUTTI FRUTTI LARGE PURSE,21647,224.70000000000002,107,25
ASSORTED TUTTI FRUTTI MIRROR,21643,743.31,550,60
ASSORTED TUTTI FRUTTI NOTEBOOK,21638,547.76,247,40
ASSORTED TUTTI FRUTTI PEN,21642,830.7299999999999,2471,101
ASSORTED TUTTI FRUTTI SMALL PURSE,21648,982.79,729,66
ASSTD COL BUTTERFLY/CRYSTAL W/CHIME,75178,218.87,459,13
ASSTD DESIGN 3D PAPER STICKERS,84826,389.38,13702,32
ASSTD DESIGN BUBBLE GUM RING,84270,3.5700000000000003,17,4
ASSTD DESIGN RACING CAR PEN,11001,2389.44,1615,113
ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,84929,637.5600000000001,2412,65
ASSTD MULTICOLOUR CIRCLES MUG,37327,840.0799999999999,1579,82
ASSTD RASTA KEY-CHAINS,17174,3.7800000000000002,9,3
Adjust bad debt,B,11062.06,1,1
Adjustment,17109D,0.0,14,1
Adjustment,21736,0.0,34,1
Amazon,21868,0.0,1,1
Amazon,21888,0.0,1,1
Amazon,22087,0.0,6,1
Amazon,22927,0.0,1,1
Amazon,23084,0.0,1,1
Amazon,82613A,0.0,1,1
Amazon,85049B,0.0,1,1
Amazon Adjustment,20967,0.0,1,1
BABUSHKA LIGHTS STRING OF 10,22468,3633.17,517,153
BABY BOOM RIBBONS ,85049F,477.34,378,88
BABY MOUSE RED GINGHAM DRESS,21841,310.25,73,21
BAG 125g SWIRLY MARBLES,21703,3528.89,9390,294
BAG 250g SWIRLY MARBLES,21704,4039.2799999999997,5144,248
BAG 500g SWIRLY MARBLES,21705,1462.1699999999998,1459,141
BAG OF SILVER STONES,72051S,89.52999999999999,130,13
BAKING MOULD CHOCOLATE CUP CAKES,22937,30.599999999999998,12,2
BAKING MOULD CHOCOLATE CUPCAKES,22937,2502.04,948,157
BAKING MOULD CUPCAKE CHOCOLATE,22937,30.599999999999998,12,1
BAKING MOULD EASTER EGG MILK CHOC,22933,2585.92,940,122
BAKING MOULD EASTER EGG WHITE CHOC,22934,1707.47,589,78
BAKING MOULD HEART MILK CHOCOLATE,22930,2846.8,1108,189
BAKING MOULD HEART WHITE CHOCOLATE,22931,1963.3,813,129
BAKING MOULD ROSE MILK CHOCOLATE,22935,2066.82,690,65
BAKING MOULD ROSE WHITE CHOCOLATE,22936,895.97,279,50
BAKING MOULD TOFFEE CUP  CHOCOLATE,22932,15.299999999999999,6,1
BAKING MOULD TOFFEE CUP CHOCOLATE,22932,1985.5800000000002,878,71
BAKING SET 9 PIECE RETROSPOT ,22138,24185.27,4937,934
BAKING SET SPACEBOY DESIGN,22617,10745.050000000001,2210,465
BALLOON ART MAKE YOUR OWN FLOWERS,22438,1034.9,1009,98
BALLOON PUMP WITH 10 BALLOONS,22434,1570.41,793,124
BALLOON WATER BOMB PACK OF 35,22440,2375.04,6010,154
BALLOONS  WRITING SET ,21328,2410.43,1337,346
BANK ACCOUNT  GREETING  CARD ,21518,132.44,318,38
BANQUET BIRTHDAY  CARD  ,22026,712.08,1644,160
BAROQUE BUTTERFLY EARRINGS BLACK,90025A,7.5,2,2
BAROQUE BUTTERFLY EARRINGS CRYSTAL,90025F,14.96,4,4
BAROQUE BUTTERFLY EARRINGS MONTANA,90025E,3.73,1,1
BAROQUE BUTTERFLY EARRINGS PINK,90025D,11.19,3,3
BAROQUE BUTTERFLY EARRINGS RED,90025B,3.73,1,1
BASKET OF FLOWERS SEWING KIT,85177,644.2099999999999,812,63
BASKET OF TOADSTOOLS,21439,1767.15,1430,130
BATH BUILDING BLOCK WORD,21756,5006.26,809,270
BATHROOM HOOK,23417,157.5,146,27
BATHROOM METAL SIGN,82580,3473.21,5881,631
BATHROOM METAL SIGN ,21171,613.14,438,73
BATHROOM SCALES FOOTPRINTS IN SAND,82011C,172.05,51,20
BATHROOM SCALES RUBBER DUCKS,82011B,146.85,43,21
"BATHROOM SCALES, TROPICAL BEACH",82011A,67.5,18,12
BATHROOM SET LOVE HEART DESIGN,22137,237.98000000000002,82,14
BEACH HUT DESIGN BLACKBOARD,84688,203.07,41,15
BEACH HUT KEY CABINET,84685,177.33,34,21
BEACH HUT MIRROR,84686,66.39,49,8
BEACH HUT SHELF W 3 DRAWERS,84687,504.43,81,31
BEADED CHANDELIER T-LIGHT HOLDER,23057,1420.97,695,38
BEADED CRYSTAL HEART BLUE  LARGE,85130C,437.22,482,46
BEADED CRYSTAL HEART BLUE ON STICK,85131C,178.85,193,50
BEADED CRYSTAL HEART BLUE SMALL,85129C,107.31,80,15
BEADED CRYSTAL HEART GREEN LARGE,85130B,760.4300000000001,834,62
BEADED CRYSTAL HEART GREEN ON STICK,85131B,521.11,623,172
BEADED CRYSTAL HEART GREEN SMALL,85129B,168.59,119,31
BEADED CRYSTAL HEART PINK LARGE,85130D,569.29,565,62
BEADED CRYSTAL HEART PINK ON STICK,85131D,725.26,850,206
BEADED CRYSTAL HEART PINK SMALL,85129D,342.74,207,65
BEADED LOVE HEART JEWELLERY SET,90167,8.5,10,1
BEADED PEARL HEART WHITE LARGE,85130A,127.04999999999998,77,10
BEADED PEARL HEART WHITE ON STICK,85131A,901.48,996,119
BELL HEART ANTIQUE GOLD,23214,24.96,12,1
BELL HEART DECORATION,23103,387.0,252,9
BELLE JARDINIERE CUSHION COVER,23395,3257.08,748,210
BEST DAD CANDLE LETTERS,72140E,26.349999999999998,31,8
BEWARE OF THE CAT METAL SIGN ,21165,6935.7,4154,449
BICYCLE PUNCTURE REPAIR KIT ,23552,3881.91,1863,116
BICYCLE SAFTEY WALL ART,23535,2371.94,458,39
BIG DOUGHNUT FRIDGE MAGNETS,21700,2334.94,1726,198
BIG POLKADOT MUG,37330,2.34,6,1
BILI NUT AND WOOD NECKLACE,90031,59.89,50,7
BINGO SET,21888,6659.54,1691,380
BIRD BOX CHRISTMAS TREE DECORATION,21018,22.06,24,6
BIRD DECORATION GREEN POLKADOT,22322,747.81,820,139
BIRD DECORATION RED RETROSPOT,22321,860.93,893,132
BIRD HOUSE HOT WATER BOTTLE,22110,4912.14,1172,279
BIRD ON BRANCH CANVAS SCREEN,84387A,21.45,11,1
BIRDCAGE DECORATION TEALIGHT HOLDER,22252,761.57,643,67
BIRDHOUSE DECORATION MAGIC GARDEN,22251,889.49,712,137
BIRDHOUSE GARDEN MARKER ,22478,2210.62,1537,140
BIRDS MOBILE VINTAGE DESIGN,22320,1147.27,189,73
BIRTHDAY BANNER TAPE,22953,30.0,24,1
BIRTHDAY BANQUET GIFT WRAP,22048,393.5,975,32
"BIRTHDAY CARD, RETRO SPOT",22819,1104.81,2608,270
BIRTHDAY PARTY CORDON BARRIER TAPE,22953,617.11,478,97
BISCUIT TIN 50'S CHRISTMAS,23247,6681.25,2194,309
BISCUIT TIN VINTAGE CHRISTMAS,23234,5079.78,1938,278
BISCUIT TIN VINTAGE GREEN,22843,2904.52,452,128
BISCUIT TIN VINTAGE LEAF,23235,64.56,24,3
BISCUIT TIN VINTAGE RED,22842,3823.21,590,163
BISCUITS SMALL BOWL LIGHT BLUE,84596L,629.38,1254,172
BISCUITS SMALL BOWL LIGHT BLUE,84596l,2.46,1,1
BLACK 3 BEAD DROP EARRINGS,90182C,40.96,14,9
BLACK AND WHITE CAT BOWL,22702,2684.6499999999996,1363,49
BLACK AND WHITE DOG BOWL,22700,2602.18,1196,52
BLACK BAROQUE CARRIAGE CLOCK,85168B,432.78999999999996,51,35
BLACK BAROQUE WALL CLOCK ,85163B,783.68,84,36
BLACK BIRD GARDEN DESIGN MUG,85160B,62.239999999999995,106,16
BLACK CANDELABRA T-LIGHT HOLDER,85116,1106.88,941,89
BLACK CHAMPAGNE GLASS,79163,626.55,1529,35
BLACK CHERRY LIGHTS,79323B,54.0,8,1
BLACK CHRISTMAS FLOCK DROPLET ,35610B,30.0,24,1
BLACK CHRISTMAS TREE 120CM,35599B,551.13,217,27
BLACK CHRISTMAS TREE 60CM,35598B,460.64,558,25
BLACK CHUNKY BEAD BRACELET W STRAP,90184C,190.51999999999998,21,17
BLACK CHUNKY BEAD BRACELET W STRAP,90184c,9.15,1,1
BLACK CRYSTAL DROP EARRINGS,90011B,35.27,12,7
BLACK DIAMANTE EXPANDABLE RING,90185C,110.09,26,10
BLACK DIAMOND CLUSTER EARRINGS,90077,8.82,3,3
BLACK DIAMOND CLUSTER NECKLACE,90074,37.239999999999995,4,3
BLACK DINER WALL CLOCK,22194,625.6899999999999,66,44
BLACK DROP CRYSTAL NECKLACE,90012B,45.35000000000001,13,3
BLACK DROP EARRINGS W LONG BEADS,90183C,26.15,9,9
BLACK DROP EARRINGS W LONG BEADS,90183c,2.9,1,1
BLACK EAR MUFF HEADPHONES,20780,312.7,47,28
BLACK ENAMEL FLOWER RING,90201B,252.9,86,23
BLACK ENCHANTED FOREST PLACEMAT,85114A,1105.21,649,56
BLACK ENCHANTED FOREST PLACEMAT,85114a,161.70000000000002,49,15
BLACK FEATHER CHRISTMAS DECORATION,35607B,18.240000000000002,96,7
BLACK FINE BEAD NECKLACE W TASSEL,90179C,35.44,6,6
BLACK FLOWER CANDLE PLATE,84499,5.949999999999999,7,2
BLACK GEMSTONE BRACELET,90195B,29.98,4,4
BLACK GEMSTONE NECKLACE 45CM,90196B,63.480000000000004,5,5
