Description,Total_Revenue,Total_Quantity,Transaction_Count,Avg_Price,ASP,Product_Type
15CM CHRISTMAS GLASS BALL 20 LIGHTS,10910.61,1359,261,9.306958174904944,8.028410596026491,⭐ Core Product
16 PC CUTLERY SET PANTRY DESIGN,63.8,4,1,15.95,15.95,⚠️ Rationalization Candidate
16 PIECE CUTLERY SET PANTRY DESIGN,3785.06,254,69,17.16623188405797,14.901811023622047,💎 Premium Product
18PC WOODEN CUTLERY SET DISPOSABLE,751.38,567,43,1.751627906976744,1.3251851851851852,⭐ Core Product
2 DAISIES HAIR COMB,52.56,18,12,2.9091666666666662,2.92,⚠️ Rationalization Candidate
2 PICTURE BOOK EGGS EASTER BUNNY,256.54,182,36,1.8213888888888887,1.4095604395604397,⚠️ Rationalization Candidate
2 PICTURE BOOK EGGS EASTER CHICKS,222.22,171,25,1.492,1.29953216374269,⚠️ Rationalization Candidate
2 PICTURE BOOK EGGS EASTER DUCKS,165.89,124,25,1.6856,1.3378225806451611,⚠️ Rationalization Candidate
20 DOLLY PEGS RETROSPOT,3251.6,2448,222,1.569642857142857,1.328267973856209,⭐ Core Product
200 BENDY SKULL STRAWS,742.37,660,55,1.3725454545454545,1.1248030303030303,⭐ Core Product
200 RED + WHITE BENDY STRAWS,1218.93,916,172,1.4587861271676301,1.3307096069868996,⭐ Core Product
3 BIRDS CANVAS SCREEN,2.04,2,2,1.02,1.02,⚠️ Rationalization Candidate
3 BLACK CATS W HEARTS BLANK CARD,4.5600000000000005,24,3,0.19000000000000003,0.19000000000000003,⚠️ Rationalization Candidate
3 DRAWER ANTIQUE WHITE WOOD CABINET,6457.94,734,202,9.293529411764705,8.798283378746593,⭐ Core Product
3 GARDENIA MORRIS BOXED CANDLES,936.27,501,77,2.9699999999999998,1.8688023952095807,⭐ Core Product
3 HEARTS HANGING DECORATION RUSTIC,11797.380000000001,3413,303,3.352964169381108,3.456601230588925,⭐ Core Product
3 HOOK HANGER MAGIC GARDEN,3276.2099999999996,1703,159,2.8271249999999997,1.9237874339401055,⭐ Core Product
3 HOOK PHOTO SHELF ANTIQUE WHITE,13611.81,1794,382,10.020785340314136,7.587408026755853,⭐ Core Product
3 PIECE SPACEBOY COOKIE CUTTER SET,5472.6900000000005,2624,378,2.5305774278215223,2.08562881097561,⭐ Core Product
3 PINK HEN+CHICKS IN BASKET,15.0,12,6,1.25,1.25,⚠️ Rationalization Candidate
3 RAFFIA RIBBONS 50'S CHRISTMAS ,1884.17,2095,199,0.8802,0.8993651551312649,⭐ Core Product
3 RAFFIA RIBBONS VINTAGE CHRISTMAS,732.4200000000001,824,99,0.8976767676767677,0.888859223300971,⭐ Core Product
3 ROSE MORRIS BOXED CANDLES,1800.0,1129,158,2.2984848484848484,1.5943312666076173,⭐ Core Product
3 STRIPEY MICE FELTCRAFT,5907.84,3021,468,2.2756779661016946,1.9555908639523336,⭐ Core Product
3 TIER CAKE TIN GREEN AND CREAM,6981.67,445,201,18.59910891089109,15.68914606741573,⭐ Core Product
3 TIER CAKE TIN RED AND CREAM,9765.11,689,168,17.272142857142857,14.172873730043543,⭐ Core Product
3 TIER SWEETHEART GARDEN SHELF,1938.2500000000002,55,43,35.67093023255814,35.24090909090909,💎 Premium Product
3 TRADITIONAL COOKIE CUTTERS  SET,304.20000000000005,162,4,2.0375,1.877777777777778,⚠️ Rationalization Candidate
3 TRADITIONAl BISCUIT CUTTERS  SET,2606.4100000000003,1209,232,2.3547210300429184,2.155839536807279,⭐ Core Product
3 WHITE CHOC MORRIS BOXED CANDLES,1637.07,946,121,2.765934959349593,1.7305179704016913,⭐ Core Product
3 WICK CHRISTMAS BRIAR CANDLE ,15.97,3,2,6.11,5.323333333333333,⚠️ Rationalization Candidate
36 DOILIES DOLLY GIRL,1347.8899999999999,911,90,1.7153333333333334,1.4795718990120745,⭐ Core Product
36 DOILIES VINTAGE CHRISTMAS,7060.28,5171,177,1.5787570621468927,1.3653606652485013,⭐ Core Product
36 FOIL HEART CAKE CASES,3983.3900000000003,2050,198,2.225273631840796,1.943117073170732,⭐ Core Product
36 FOIL STAR CAKE CASES ,2053.3500000000004,1184,135,2.2964963503649636,1.734248310810811,⭐ Core Product
36 PENCILS TUBE POSY,76.91,79,20,1.061,0.9735443037974683,⚠️ Rationalization Candidate
36 PENCILS TUBE RED RETROSPOT,4723.7300000000005,3734,325,1.5887384615384617,1.2650589180503482,⭐ Core Product
36 PENCILS TUBE SKULLS,2395.05,1795,263,1.6181954887218044,1.3342896935933148,⭐ Core Product
36 PENCILS TUBE WOODLAND,2328.64,1739,185,1.5118279569892472,1.33906843013226,⭐ Core Product
3D CHRISTMAS STAMPS STICKERS ,1536.24,1172,143,1.5102083333333334,1.3107849829351537,⭐ Core Product
3D DOG PICTURE PLAYING CARDS,1016.72,338,86,3.274137931034483,3.0080473372781067,💎 Premium Product
3D HEARTS  HONEYCOMB PAPER GARLAND,1021.9000000000001,326,50,3.834705882352941,3.134662576687117,💎 Premium Product
3D SHEET OF CAT STICKERS,255.61999999999998,260,75,1.1855263157894735,0.983153846153846,⚠️ Rationalization Candidate
3D SHEET OF DOG STICKERS,423.99,426,116,1.2454310344827586,0.9952816901408451,📦 Volume Driver
3D TRADITIONAL CHRISTMAS STICKERS,2095.08,1583,197,1.5160696517412937,1.3234870499052431,⭐ Core Product
3D VINTAGE CHRISTMAS STICKERS ,2162.75,1645,188,1.5677894736842104,1.314741641337386,⭐ Core Product
4 BLUE DINNER CANDLES SILVER FLOCK,226.67,87,31,2.7054838709677416,2.6054022988505747,⚠️ Rationalization Candidate
4 BURGUNDY WINE DINNER CANDLES,57.46,45,13,1.343076923076923,1.276888888888889,⚠️ Rationalization Candidate
4 GOLD FLOCK CHRISTMAS BALLS,6.72,2,1,3.36,3.36,⚠️ Rationalization Candidate
4 IVORY DINNER CANDLES SILVER FLOCK,1205.64,538,136,2.5973381294964026,2.2409665427509298,⭐ Core Product
4 LAVENDER BOTANICAL DINNER CANDLES,1347.92,891,135,2.023623188405797,1.5128170594837262,⭐ Core Product
4 LILY  BOTANICAL DINNER CANDLES,1009.26,525,102,2.438653846153846,1.9223999999999999,⭐ Core Product
4 PEAR BOTANICAL DINNER CANDLES,1288.34,822,138,1.964507042253521,1.5673236009732359,⭐ Core Product
4 PINK DINNER CANDLE SILVER FLOCK,259.71999999999997,130,35,2.642857142857143,1.9978461538461536,⚠️ Rationalization Candidate
4 PINK FLOCK CHRISTMAS BALLS,88.47,49,22,2.2954545454545454,1.8055102040816327,⚠️ Rationalization Candidate
4 ROSE PINK DINNER CANDLES,276.59,184,44,2.071818181818182,1.5032065217391304,⚠️ Rationalization Candidate
4 SKY BLUE DINNER CANDLES,297.91,150,62,2.209516129032258,1.9860666666666669,⚠️ Rationalization Candidate
4 TRADITIONAL SPINNING TOPS,6782.21,4890,484,1.6569042769857434,1.3869550102249488,⭐ Core Product
4 VANILLA BOTANICAL CANDLES,1476.4,974,164,1.9874545454545456,1.515811088295688,⭐ Core Product
4 WILDFLOWER BOTANICAL CANDLES,768.37,404,91,2.4651546391752577,1.9019059405940595,⭐ Core Product
5 HOOK HANGER MAGIC TOADSTOOL,994.3799999999999,640,34,1.9782352941176469,1.5537187499999998,⭐ Core Product
5 HOOK HANGER RED MAGIC TOADSTOOL,4751.639999999999,3098,131,1.9261654135338346,1.5337766300839248,⭐ Core Product
5 STRAND GLASS NECKLACE AMBER,37.620000000000005,6,6,6.2700000000000005,6.2700000000000005,⚠️ Rationalization Candidate
5 STRAND GLASS NECKLACE AMETHYST,56.59,9,8,6.28,6.287777777777778,⚠️ Rationalization Candidate
5 STRAND GLASS NECKLACE BLACK,69.63,11,6,6.3133333333333335,6.329999999999999,⚠️ Rationalization Candidate
5 STRAND GLASS NECKLACE CRYSTAL,120.28999999999999,19,10,6.32,6.331052631578947,⚠️ Rationalization Candidate
50'S CHRISTMAS PAPER GIFT BAG,1100.6899999999998,1342,103,0.9369902912621358,0.8201862891207152,⭐ Core Product
50CM METAL STRING WITH  7 CLIPS,171.79,225,23,1.0608695652173912,0.763511111111111,⚠️ Rationalization Candidate
6 CHOCOLATE LOVE HEART T-LIGHTS,2171.26,1061,142,2.542191780821918,2.0464278982092368,⭐ Core Product
6 EGG HOUSE PAINTED WOOD,2726.43,299,155,9.944580645161292,9.118494983277591,💎 Premium Product
6 GIFT TAGS 50'S CHRISTMAS ,3429.3999999999996,3740,322,0.9722121212121212,0.9169518716577539,⭐ Core Product
6 GIFT TAGS VINTAGE CHRISTMAS ,3510.0499999999997,4007,327,0.9988519637462235,0.8759795358123283,⭐ Core Product
6 RIBBONS ELEGANT CHRISTMAS ,2489.0299999999997,1773,200,1.774009900990099,1.40385222786238,⭐ Core Product
6 RIBBONS EMPIRE  ,1667.8799999999999,1259,225,1.611858407079646,1.3247656870532167,⭐ Core Product
6 RIBBONS RUSTIC CHARM,17186.62,9172,955,2.211237113402062,1.8738137810728301,⭐ Core Product
6 RIBBONS SHIMMERING PINKS ,1239.6699999999998,1402,199,1.40095,0.8842154065620541,⭐ Core Product
6 ROCKET BALLOONS ,1293.22,1898,197,0.7724875621890548,0.681359325605901,⭐ Core Product
60 CAKE CASES DOLLY GIRL DESIGN,3990.2000000000003,7481,437,0.6748868778280543,0.5333778906563295,⭐ Core Product
60 CAKE CASES VINTAGE CHRISTMAS,9498.87,16032,618,0.7650158227848102,0.5924943862275449,⭐ Core Product
60 GOLD AND SILVER FAIRY CAKE CASES,1.1,2,2,0.55,0.55,⚠️ Rationalization Candidate
60 TEATIME FAIRY CAKE CASES,9169.970000000001,18189,828,0.689585308056872,0.5041492110616307,⭐ Core Product
6PC WOOD PLATE SET DISPOSABLE,574.88,459,38,1.9131578947368422,1.2524618736383442,📦 Volume Driver
70'S ALPHABET WALL ART,1043.1,150,15,7.986,6.954,💎 Premium Product
72 CAKE CASES VINTAGE CHRISTMAS,13.200000000000001,24,1,0.55,0.55,⚠️ Rationalization Candidate
72 SWEETHEART FAIRY CAKE CASES,6532.780000000001,13319,615,0.6851746031746032,0.4904857722051206,⭐ Core Product
75 BLACK PETIT FOUR CASES,24.36,58,18,0.42,0.42,⚠️ Rationalization Candidate
75 GREEN FAIRY CAKE CASES,102.36,69,42,1.4642857142857142,1.4834782608695651,⚠️ Rationalization Candidate
75 GREEN PETIT FOUR CASES,186.25,375,74,0.6477027027027027,0.49666666666666665,📦 Volume Driver
A PRETTY THANK YOU CARD,194.58,456,35,0.5208333333333334,0.4267105263157895,📦 Volume Driver
A4 WALL TIDY BLUE OFFICE,80.96000000000001,127,12,1.0875000000000001,0.63748031496063,⚠️ Rationalization Candidate
A4 WALL TIDY RED FLOWERS,7.37,13,4,0.56,0.566923076923077,⚠️ Rationalization Candidate
ABC TREASURE BOOK BOX ,4693.08,2165,226,2.663215859030837,2.1677043879907623,⭐ Core Product
ABSTRACT CIRCLE JOURNAL ,447.25,184,72,2.4995833333333333,2.4307065217391304,⚠️ Rationalization Candidate
ABSTRACT CIRCLES POCKET BOOK,135.15,159,42,0.85,0.8500000000000001,⚠️ Rationalization Candidate
ABSTRACT CIRCLES SKETCHBOOK ,603.3100000000001,142,76,4.66961038961039,4.248661971830987,⚠️ Rationalization Candidate
ACRYLIC GEOMETRIC LAMP,568.65,35,20,17.94857142857143,16.247142857142858,⚠️ Rationalization Candidate
"ACRYLIC HANGING JEWEL,BLUE",106.05,268,24,0.5359259259259259,0.3957089552238806,⚠️ Rationalization Candidate
"ACRYLIC HANGING JEWEL,PINK",66.55,95,7,0.5042857142857143,0.7005263157894737,⚠️ Rationalization Candidate
"ACRYLIC JEWEL ANGEL,PINK",29.64,78,2,0.38,0.38,⚠️ Rationalization Candidate
"ACRYLIC JEWEL ICICLE, BLUE",11.780000000000001,31,3,0.38000000000000006,0.38000000000000006,⚠️ Rationalization Candidate
"ACRYLIC JEWEL ICICLE, PINK",105.83,263,19,0.69,0.4023954372623574,⚠️ Rationalization Candidate
"ACRYLIC JEWEL SNOWFLAKE, PINK",63.28000000000001,162,5,0.724,0.39061728395061734,⚠️ Rationalization Candidate
"ACRYLIC JEWEL SNOWFLAKE,PINK",15.299999999999999,6,1,2.55,2.55,⚠️ Rationalization Candidate
ADULT APRON APPLE DELIGHT,945.88,184,45,6.362,5.140652173913043,💎 Premium Product
ADVENT CALENDAR GINGHAM SACK,6848.1900000000005,1315,247,5.705344129554656,5.207749049429658,⭐ Core Product
AFGHAN SLIPPER SOCK PAIR,1690.5500000000002,519,22,3.4272727272727277,3.257321772639692,⭐ Core Product
AGED GLASS SILVER T-LIGHT HOLDER,6859.27,10535,340,0.8200289017341041,0.6510934978642621,⭐ Core Product
AIRLINE BAG VINTAGE JET SET BROWN,1626.54,351,170,5.134764705882353,4.634017094017094,⭐ Core Product
AIRLINE BAG VINTAGE JET SET RED,2427.52,552,226,4.707136563876652,4.39768115942029,⭐ Core Product
AIRLINE BAG VINTAGE JET SET WHITE,1133.2,253,123,4.68576,4.479051383399209,💎 Premium Product
AIRLINE BAG VINTAGE TOKYO 78,5072.32,1095,395,5.169673366834171,4.632255707762557,⭐ Core Product
AIRLINE BAG VINTAGE WORLD CHAMPION ,1289.49,282,150,4.90251655629139,4.572659574468085,💎 Premium Product
"AIRLINE LOUNGE,METAL SIGN",1408.07,711,291,2.007216494845361,1.980407876230661,⭐ Core Product
ALARM CLOCK BAKELIKE CHOCOLATE,8153.6,1980,428,4.783640552995392,4.117979797979798,⭐ Core Product
ALARM CLOCK BAKELIKE GREEN,27155.28,6419,980,4.54201213346815,4.230453341642,⭐ Core Product
ALARM CLOCK BAKELIKE IVORY,11453.4,2885,570,4.418076923076923,3.9699826689774698,⭐ Core Product
ALARM CLOCK BAKELIKE ORANGE,9068.95,2323,445,4.514446902654867,3.9039819199311236,⭐ Core Product
ALARM CLOCK BAKELIKE PINK,20672.15,5356,783,4.579835651074589,3.8596247199402542,⭐ Core Product
ALARM CLOCK BAKELIKE RED ,30644.87,7800,1051,4.396880301602262,3.928829487179487,⭐ Core Product
ALPHABET HEARTS STICKER SHEET,350.08,397,59,1.0294915254237287,0.8818136020151133,📦 Volume Driver
ALPHABET STENCIL CRAFT,3057.27,2697,186,1.3571505376344086,1.1335817575083427,⭐ Core Product
ALUMINIUM HEART,74.7,30,6,2.49,2.49,⚠️ Rationalization Candidate
ALUMINIUM STAMPED HEART,1892.2300000000002,779,130,2.589848484848485,2.4290500641848527,⭐ Core Product
AMAZON,0.0,3,3,0.0,0.0,⚠️ Rationalization Candidate
AMBER 3 BEAD DROP EARRINGS,23.2,8,8,2.9,2.9,⚠️ Rationalization Candidate
AMBER BERTIE GLASS BEAD BAG CHARM,21.05,11,10,1.9419999999999997,1.9136363636363638,⚠️ Rationalization Candidate
AMBER BERTIE MOBILE PHONE CHARM,6.58,2,1,3.29,3.29,⚠️ Rationalization Candidate
AMBER CHUNKY BEAD BRACELET W STRAP,117.73,13,9,9.103333333333332,9.056153846153846,⚠️ Rationalization Candidate
AMBER CHUNKY GLASS+BEAD NECKLACE,95.25,8,8,11.90625,11.90625,⚠️ Rationalization Candidate
AMBER CRYSTAL DROP EARRINGS,8.76,3,3,2.92,2.92,⚠️ Rationalization Candidate
AMBER DIAMANTE EXPANDABLE RING,131.03,31,13,4.202307692307692,4.226774193548387,⚠️ Rationalization Candidate
AMBER DROP EARRINGS W LONG BEADS,117.24000000000001,40,23,2.9213043478260867,2.931,⚠️ Rationalization Candidate
AMBER FINE BEAD NECKLACE W TASSEL,35.31,6,5,5.872,5.885000000000001,⚠️ Rationalization Candidate
AMBER GLASS TASSLE BAG CHARM,33.440000000000005,14,7,2.0157142857142856,2.388571428571429,⚠️ Rationalization Candidate
AMBER GLASS/SHELL/PEARL NECKLACE,64.04,7,7,9.14857142857143,9.14857142857143,⚠️ Rationalization Candidate
AMBER GLASS/SILVER BRACELET,227.89,25,16,9.098125,9.115599999999999,⚠️ Rationalization Candidate
AMETHYST 3 BEAD DROP EARRINGS,14.5,5,5,2.9,2.9,⚠️ Rationalization Candidate
AMETHYST CHUNKY BEAD BRACELET W STR,297.94,33,21,9.054285714285713,9.02848484848485,⚠️ Rationalization Candidate
AMETHYST DIAMANTE EXPANDABLE RING,97.02,23,12,4.19,4.218260869565217,⚠️ Rationalization Candidate
AMETHYST DROP EARRINGS W LONG BEADS,61.08,21,17,2.9105882352941173,2.9085714285714284,⚠️ Rationalization Candidate
AMETHYST GLASS/SHELL/PEARL NECKLACE,137.63,15,14,9.177142857142858,9.175333333333333,⚠️ Rationalization Candidate
AMETHYST HOOP EARRING FLORAL LEAF,32.16,11,9,2.9233333333333333,2.9236363636363634,⚠️ Rationalization Candidate
ANGEL DECORATION 3 BUTTONS ,1636.67,3745,162,0.5443373493975904,0.4370280373831776,⭐ Core Product
ANGEL DECORATION PAINTED ZINC ,574.5400000000001,912,77,0.7082051282051283,0.6299780701754387,📦 Volume Driver
ANGEL DECORATION STARS ON DRESS,1109.05,2593,131,0.5472058823529412,0.4277092171230235,⭐ Core Product
ANGEL DECORATION WITH LACE PADDED,180.2,212,11,0.85,0.85,⚠️ Rationalization Candidate
ANIMAL STICKERS,367.29,1749,46,0.21,0.21000000000000002,📦 Volume Driver
ANIMALS AND NATURE WALL ART,923.97,267,17,3.6958823529411764,3.460561797752809,💎 Premium Product
ANT COPPER LIME BOUDICCA BRACELET,412.74,83,50,4.986000000000001,4.972771084337349,⚠️ Rationalization Candidate
ANT COPPER PINK BOUDICCA BRACELET,318.89000000000004,64,34,4.997941176470588,4.982656250000001,⚠️ Rationalization Candidate
ANT COPPER RED BOUDICCA BRACELET,119.91000000000001,24,21,5.002857142857143,4.996250000000001,⚠️ Rationalization Candidate
ANT COPPER TURQ BOUDICCA BRACELET,377.88,76,37,4.984594594594594,4.972105263157895,⚠️ Rationalization Candidate
ANT SILVER FUSCHIA BOUDICCA RING,41.300000000000004,14,7,2.95,2.95,⚠️ Rationalization Candidate
ANT SILVER LIME GREEN BOUDICCA RING,79.65,27,10,2.95,2.95,⚠️ Rationalization Candidate
ANT SILVER PURPLE BOUDICCA RING,29.500000000000004,10,5,2.95,2.95,⚠️ Rationalization Candidate
ANT SILVER TURQUOISE BOUDICCA RING,17.700000000000003,6,1,2.95,2.9500000000000006,⚠️ Rationalization Candidate
ANT WHITE WIRE HEART SPIRAL,1519.63,339,104,5.688076923076922,4.4826843657817115,💎 Premium Product
ANTIQUE ALL GLASS CANDLESTICK,2614.05,1169,199,2.3111940298507463,2.236142001710864,⭐ Core Product
ANTIQUE CREAM CUTLERY CUPBOARD,530.19,50,36,11.344722222222224,10.603800000000001,⚠️ Rationalization Candidate
ANTIQUE CREAM CUTLERY SHELF ,254.98000000000002,29,19,8.946315789473683,8.79241379310345,⚠️ Rationalization Candidate
ANTIQUE GLASS DRESSING TABLE POT,5561.3,1798,267,3.781310861423221,3.0930478309232483,⭐ Core Product
ANTIQUE GLASS HEART DECORATION ,707.23,327,36,2.474736842105263,2.162782874617737,💎 Premium Product
ANTIQUE GLASS PEDESTAL BOWL,4203.89,1027,220,4.729107142857143,4.093369036027264,⭐ Core Product
ANTIQUE GLASS PLACE SETTING,152.5,122,8,1.25,1.25,⚠️ Rationalization Candidate
ANTIQUE HEART SHELF UNIT,4145.47,275,74,17.8127027027027,15.074436363636364,💎 Premium Product
ANTIQUE IVORY WIRE BOWL SMALL,251.45000000000002,99,21,2.7252380952380952,2.53989898989899,⚠️ Rationalization Candidate
ANTIQUE MID BLUE FLOWER EARRINGS,21.15,5,3,4.216666666666667,4.2299999999999995,⚠️ Rationalization Candidate
ANTIQUE OLIVE GREEN FLOWER EARRINGS,29.73,7,5,4.246,4.247142857142857,⚠️ Rationalization Candidate
ANTIQUE OPAL WHITE FLOWER EARRINGS,21.130000000000003,5,5,4.226000000000001,4.226000000000001,⚠️ Rationalization Candidate
ANTIQUE RASPBERRY FLOWER EARRINGS,20.950000000000003,5,4,4.175000000000001,4.19,⚠️ Rationalization Candidate
ANTIQUE SILVER BAUBLE LAMP  ,3583.23,376,78,10.834999999999999,9.529867021276596,⭐ Core Product
ANTIQUE SILVER BOOK MARK WITH BEADS,14.11,17,3,0.83,0.83,⚠️ Rationalization Candidate
ANTIQUE SILVER T-LIGHT GLASS,19381.62,14664,689,1.5028468208092487,1.3217144026186578,⭐ Core Product
ANTIQUE SILVER TEA GLASS ENGRAVED,10229.77,8652,347,1.471534090909091,1.1823589921405455,⭐ Core Product
ANTIQUE SILVER TEA GLASS ETCHED,6461.76,4545,216,1.6190909090909091,1.4217293729372937,⭐ Core Product
ANTIQUE TALL SWIRLGLASS TRINKET POT,3560.74,870,203,4.955615763546798,4.092804597701149,⭐ Core Product
APOTHECARY MEASURING JAR,826.28,67,22,12.759545454545453,12.332537313432836,💎 Premium Product
APPLE BATH SPONGE,1911.17,1336,229,1.8230172413793104,1.4305164670658683,⭐ Core Product
APRON APPLE DELIGHT,1446.79,285,80,5.82925,5.076456140350877,💎 Premium Product
APRON MODERN VINTAGE COTTON,1139.86,492,90,2.9795555555555553,2.3167886178861785,⭐ Core Product
AQUA BERTIE GLASS BEAD BAG CHARM,48.06,30,12,2.0741666666666667,1.602,⚠️ Rationalization Candidate
AREA PATROLLED METAL SIGN,8858.79,4365,437,2.3959453302961276,2.0295051546391756,⭐ Core Product
ARMY CAMO BOOKCOVER TAPE,7.14,17,4,0.42,0.42,⚠️ Rationalization Candidate
"ART LIGHTS,FUNK MONKEY",1037.54,370,62,3.553809523809524,2.804162162162162,⭐ Core Product
ASS COL CIRCLE MOBILE ,173.15999999999997,474,6,0.4114285714285714,0.36531645569620247,📦 Volume Driver
ASS COL LARGE SAND FROG P'WEIGHT,28.35,27,7,1.05,1.05,⚠️ Rationalization Candidate
ASS COL SMALL SAND GECKO P'WEIGHT,11.34,27,9,0.42,0.42,⚠️ Rationalization Candidate
ASS COLOUR GLOWING TIARAS,215.21,281,25,0.8719230769230768,0.7658718861209964,⚠️ Rationalization Candidate
ASS DES PHONE SPONGE CRAFT STICKER,153.09,509,14,0.465,0.3007662082514735,📦 Volume Driver
ASS FLORAL PRINT MULTI SCREWDRIVER,1254.1200000000001,2734,163,0.5077976190476191,0.4587125091441112,⭐ Core Product
ASS FLORAL PRINT SPIRIT LEVEL ,110.86,100,37,1.4994999999999998,1.1086,⚠️ Rationalization Candidate
ASSORTED BOTTLE TOP  MAGNETS ,1406.42,3152,184,1.1675135135135135,0.4461992385786802,⭐ Core Product
ASSORTED CAKES FRIDGE MAGNETS,35.75,55,8,0.65,0.65,⚠️ Rationalization Candidate
ASSORTED CHEESE FRIDGE MAGNETS,180.71,223,18,0.9811111111111112,0.8103587443946189,⚠️ Rationalization Candidate
ASSORTED CIRCULAR MOBILE,154.77,693,33,0.4285294117647059,0.22333333333333336,📦 Volume Driver
ASSORTED COLOUR BIRD ORNAMENT,58927.62,36362,1455,1.7225745257452574,1.6205824762114296,⭐ Core Product
ASSORTED COLOUR LIZARD SUCTION HOOK,393.0,994,55,0.4160655737704918,0.3953722334004024,📦 Volume Driver
ASSORTED COLOUR METAL CAT ,138.75,111,25,1.25,1.25,⚠️ Rationalization Candidate
ASSORTED COLOUR MINI CASES,12550.57,1762,383,8.065298701298701,7.122911464245176,⭐ Core Product
ASSORTED COLOUR SILK GLASSES CASE,6.300000000000001,3,1,2.1,2.1,⚠️ Rationalization Candidate
ASSORTED COLOUR SUCTION CUP HOOK,37.24,196,13,0.19,0.19,⚠️ Rationalization Candidate
ASSORTED COLOUR T-LIGHT HOLDER,2297.03,3619,120,0.8163636363636364,0.6347140093948606,⭐ Core Product
ASSORTED COLOURED CIRCLE MOBILE ,26.88,64,7,0.42,0.42,⚠️ Rationalization Candidate
ASSORTED COLOURS SILK FAN,18569.84,23826,518,1.0677649325626204,0.7793939393939394,⭐ Core Product
ASSORTED CREEPY CRAWLIES,1107.07,2621,99,0.46950495049504953,0.42238458603586415,⭐ Core Product
ASSORTED EASTER DECORATIONS  BELLS,729.57,569,27,3.9481481481481477,1.2821968365553604,⭐ Core Product
ASSORTED EASTER GIFT TAGS,965.8599999999999,1145,61,1.338360655737705,0.8435458515283842,⭐ Core Product
